,Names,Full_Names,Adjs,Capital
0,Aruba,Aruba,Aruba,Aruba
3,Arctica,Arctica,Arctic,Arctica
5,EU,European Union,European,Brussels
7,Latin America,Latin America,Latin American,Latin America
8,Middle East,Middle East,Middle Eastern,Middle East
9,Balkan,Balkan,Balkanian,Balkan
10,Caribbean,Caribbean,Caribbean,Caribbean
11,Gulf,Gulf,Arabic,Gulf
12,Afghanistan,Islamic Republic of Afghanistan,Afghan,Kabul
13,Angola,Republic of Angola,Angolan,Luanda
14,Anguilla,Anguilla,Anguillan,Anguilla
15,Aland Islands,Aland Islands,Aland Islands,Aland Islands
16,Albania,Republic of Albania,Albanian,Tirana
17,Andorra,Principality of Andorra,Andorran,Andorra la Vella
18,United Arab Emirates,United Arab Emirates,United Arab Emirates,Abu Dhabi
19,Argentina,Argentine Republic,Argentinian,Buenos Aires
20,Armenia,Republic of Armenia,Armenian,Yerevan
21,American Samoa,American Samoa,American Samoa,American Samoa
22,Antarctica,Antarctica,Antarctic,Antarctica
23,French Southern Territories,French Southern Territories,French Southern Territories,French Southern Territories
24,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,St. John's
25,Australia,Australia,Australian,Canberra
26,Austria,Republic of Austria,Austrian,Vienna
27,Azerbaijan,Republic of Azerbaijan,Azerbaijani,Baku
28,Burundi,Republic of Burundi,Burundian,Gitega
29,Belgium,Kingdom of Belgium,Belgian,Brussels
30,Benin,Republic of Benin,Beninese,Porto-Novo
31,Bonaire,"Bonaire, Sint Eustatius and Saba",Bonaire,Bonaire
32,Burkina Faso,Burkina Faso,Burkinan,Ouagadougou
33,Bangladesh,People's Republic of Bangladesh,Bangladeshi,Dhaka
34,Bulgaria,Republic of Bulgaria,Bulgarian,Sofia
35,Bahrain,Kingdom of Bahrain,Bahraini,Manama
36,Bahamas,Commonwealth of the Bahamas,Bahamian,Nassau
37,Bosnia,Republic of Bosnia and Herzegovina,Bosnian,Sarajevo
38,Saint Barthélemy,Saint Barthélemy,Saint Barthélemy,Gustavia
39,Belarus,Republic of Belarus,Belarusian,Minsk
40,Belize,Belize,Belizean,Belmopan
41,Bermuda,Bermuda,Bermudan,Hamilton
42,Bolivia,Plurinational State of Bolivia,Bolivian,Sucre
43,Brazil,Federative Republic of Brazil,Brazilian,Brasília
44,Barbados,Barbados,Barbadian,Bridgetown
45,Brunei,Brunei Darussalam,Bruneian,Bandar Seri Begawan
46,Bhutan,Kingdom of Bhutan,Bhutanese,Thimphu
47,Bouvet Island,Bouvet Island,Bouvet Island,Bouvet Island
48,Botswana,Republic of Botswana,Botswanan,Gaborone
49,Central African Republic,Central African Republic,Central African,Bangui
50,Canada,Canada,Canadian,Ottawa
51,Cocos,Cocos (Keeling) Islands,Cocos (Keeling) Islands,Cocos (Keeling) Islands
