,Name,Rank
0,Satterfield,4
1,Blinken,1
2,Lempert,4
3,Nuland,3
4,Kritenbrink,4
5,Walsh,3
6,Jackson,4
7,Lewis,4
8,Allen,3
9,Hood,4
10,Bernicat,4
11,Yael,4
12,Toloui,4
13,Zeya,3
14,Leaf,4
15,Power,4
16,Murray,3
17,Feltman,3
18,Noyes,4
19,Hale,3
20,Lussenhop,3
21,Peterson,3
22,Chung,4
23,Witkowsky,4
24,Jenkins,3
25,Thompson,4
26,Fernandez,3
27,Phee,4
28,Godfrey,4
29,Sherman,2
30,Patel,4
31,Kerry,2
32,Price,3
33,Trudeau,4
34,Porter,4
35,Robinson,4
36,Sison,4
37,Medina,4
38,Massinga,4
39,Nichols,4
40,Bitter,4
41,Smith,4
42,Stewart,4
43,Steele,4
44,Lenderking,4
45,Reeker,4
46,McKeon,2
47,Donfried,4
48,Cormack,4
49,Kang,4
50,Lu ,4
