Title,Lastname,Rank
 USAID SENIOR DEPUTY ASSISTANT ADMINISTRATOR SHARON CROMER,Cromer,4
 USAID DEPUTY ASSISTANT ADMINISTRATOR PAUL WEISENFELD,Weisenfeld,4
 USAID ADMINISTRATOR RAJIV SHAH USAID ADMINISTRATOR RAJIVSHAH,Rajivshah,4
 USAID ADMINISTRATOR DR RAJIV SHAH USAID ADMINISTRATOR GAYLE SMITH,Smith,4
 US FOREIGN ASSISTANCE RESOURCES DIRECTOR HARI SASTRY,Sastry,4
 UNDER SECRETARY FOR PUBLIC DIPLOMACY AND PUBLIC AFFAIRS TARA SONENSHINE,Sonenshine,3
 UNDER SECRETARY FOR PUBLIC DIPLOMACY AND PUBLIC AFFAIRS JUDITH MCHALE,Mchale,3
 UNDER SECRETARY FOR PUBLIC DIPLOMACY  PUBLIC AFFAIRS RICHARD STENGEL,Stengel,3
 UNDER SECRETARY FOR MANAGEMENT PAT KENNEDY,Kennedy,3
 UNDER SECRETARY FOR ECONOMIC GROWTH ENERGY AND THE ENVIRONMENT ROBERT HORMATS,Hormats,3
 UNDER SECRETARY FOR ECONOMIC GROWTH ENERGY AND THE ENVIRONMENT CATHERINE NOVELLI COUNSELOR TOM SHANNON,Shannon,3
 UNDER SECRETARY FOR ECONOMIC GROWTH ENERGY  ENVIRONMENT CATHERINE NOVELLI,Novelli,3
 UNDER SECRETARY FOR CIVILIAN SECURITY DEMOCRACY AND HUMAN RIGHTS SARAH SEWALL,Sewall,3
 UNDER SECRETARY FOR CIVILIAN SECURITY DEMOCRACY AND HUMAN RIGHTS MARIA OTERO,Otero,3
 SPECIAL REPRESENTATIVE TO MUSLIM COMMUNITIES SHAARIK ZAFAR,Zafar,4
 SPECIAL REPRESENTATIVE FOR RELIGION AND GLOBAL AFFAIRS SHAUN CASEY,Casey,4
 SPECIAL REPRESENTATIVE FOR NORTH KOREA POLICY GLYN DAVIES,Davies,4
 SPECIAL REPRESENTATIVE FOR NORTH KOREA POLICY AMBASSADOR STEPHEN BOSWORTH,Bosworth,4
 SPECIAL REPRESENTATIVE FOR INTERNATIONAL LABOR AFFAIRS SARAH FOX,Fox,4
 SPECIAL REPRESENTATIVE FOR INTERNATIONAL LABOR AFFAIRS BARBARA SHAILOR,Shailor,4
 SPECIAL REPRESENTATIVE FOR GLOBAL PARTNERSHIPS DREW,Drew,4
 SPECIAL REPRESENTATIVE FOR GLOBAL PARTNERSHIPS ANDREW OBRIEN,Obrien,4
 SPECIAL REPRESENTATIVE FOR GLOBAL PARTNERSHIPS ANDREW,Andrew,4
 SPECIAL REPRESENTATIVE FOR GLOBAL PARTNERSHIPS AMBASSADOR ELIZABETH BAGLEY,Bagley,4
 SPECIAL REPRESENTATIVE FOR GLOBAL INTERGOVERNMENTAL AFFAIRS RETA JO LEWIS,Lewis,4
 SPECIAL REPRESENTATIVE FOR ENVIRONMENT AND WATER RESOURCES AMBASSADOR JENNIFER HAVERKAMP,Haverkamp,4
 SPECIAL REPRESENTATIVE FOR COMMERCIAL AND BUSINESS AFFAIRS LORRAINE HARITON,Hariton,4
