,Name,Rank
0,Stilwell,4
1,Jacobson,4
2,Hushek,4
3,Foote,4
4,Greenfield,4
5,Green,4
6,McGuigan,4
7,Fannon,4
8,Walsh,4
9,Birx,4
10,Murphy,4
11,Natali,4
12,Kang,4
13,Kozak,4
14,Kaidanow,4
15,Barsa,4
16,Sullivan,4
17,Risch,4
18,Schenker,4
19,Royce,4
20,Yamamoto,4
21,Todd,4
22,Bernicat,4
23,Taplin,4
24,Hale,3
25,Biegun,2
26,Poblete,4
27,Shannon,3
28,Friedt,4
29,Mull,4
30,Thornton,4
31,Wells,4
32,Currie,4
33,Chung,4
34,Lawler,4
35,Brownfield,4
36,Thompson,3
37,McGurk,4
38,Phee,4
39,Cooper,4
40,Jacobs,4
41,Destro,4
42,Brownback,4
43,Grunder,4
44,Nagy,4
45,Palmieri,4
46,Bulatao,3
47,O’Connell,4
48,Krach,3
49,Wharton,4
50,Yun,4
51,Russel,4
52,Moley,4
53,Haslach,4
54,Breier,4
55,Garber,4
56,Tillerson,1
57,Galt,4
58,Mitchell,4
59,Hook,4
60,Sales,4
61,Goldstein,3
62,Reeker,4
63,Moore,4
64,Singh,4
65,Giuda,4
66,Ford,4
67,Pompeo,1
68,Nauert,4
69,Madison,4
